Epoch	Time(sec)	Loss_train	MAE_dev	MAE_test	RMSE_dev	RMSE_test	R2_dev	R2_test
1	71.810875382	274850.0424709667	3.4636431376929804	3.539727118936967	4.593083	4.7043505	0.14257339454165407	0.11115335321773434
2	135.19244624700002	191600.71830511407	2.828380005587901	2.8098798330581243	3.7236836	3.8254554	0.4364481349292304	0.4122484730438073
3	198.48558779899997	164538.66485441892	2.8488135890163604	2.8525657706856373	3.6917937	3.7684014	0.44605944181193824	0.42964953660164873
4	261.512645602	149020.56503598377	2.6778479248435723	2.7002476826221673	3.530086	3.6729925	0.4935239490030613	0.458164305532054
5	324.293102997	139588.6939276415	2.6283643443951483	2.667890495295479	3.5505824	3.724824	0.4876254249653458	0.4427642302570628
6	386.99386188100004	133659.89790790778	2.6887684619571846	2.6971630769695496	3.5156305	3.6667447	0.4976634158024643	0.4600062009256549
7	450.79360864499995	127921.7459621756	2.664350621552691	2.6684719180321044	3.4953284	3.6353712	0.50344843014181	0.46920719768375063
8	513.975047852	123533.08264057674	2.601699443899024	2.6423895023188018	3.4624476	3.6457162	0.5127467293463505	0.4661819904247235
9	576.757225367	120912.5263286362	2.6238511909294937	2.6645227969533405	3.5719616	3.7908385	0.48143654313516115	0.42283757545172596
10	639.231223657	108962.37377351447	2.532148030762408	2.5710908582991525	3.4307296	3.6405418	0.5216329079501713	0.4676962906452855
11	702.175502585	106296.82918325436	2.581885766193731	2.601072431442432	3.4635625	3.6353743	0.5124328509802157	0.46920631372271293
12	765.373897252	104686.282129847	2.5071944956913272	2.551234933324247	3.4359186	3.640291	0.5201846724599345	0.4677695594081682
13	828.637837814	103247.11979943753	2.5750964439237345	2.588437862012916	3.4698243	3.6512454	0.5106682679091322	0.4645616028891322
14	892.458354405	101829.52280874322	2.520030340365623	2.5639072817721518	3.4118497	3.599421	0.5268834589065807	0.4796533096383655
15	955.3722598359999	100847.37087328023	2.4790040570003757	2.5506790516734337	3.4132884	3.6648202	0.5264843453578549	0.4605727825996878
16	1019.118737788	99797.37615126607	2.5042593399076027	2.5543151397054524	3.392742	3.6001227	0.5321679248189083	0.47945041835993685
17	1082.097860423	98199.78876526975	2.494335848854682	2.543177925424115	3.3841386	3.5856144	0.5345375950219547	0.4836375486669434
18	1145.050408649	97738.82663421363	2.494845580234416	2.5382517827342923	3.4392352	3.653475	0.5192580182637474	0.4639074293182891
19	1207.555139959	96674.46988039328	2.4737833862827823	2.5443619071437387	3.4179986	3.656047	0.5251765802675761	0.46315237554027766
20	1269.9224832230002	90472.03355604358	2.510493003690257	2.560303388827098	3.4656386	3.6712048	0.5118482011009267	0.4586916878334769
21	1332.239662813	89265.54700315898	2.490888477637125	2.5567085836569374	3.4634073	3.6908362	0.5124765562617406	0.45288702117890856
22	1394.726385252	88240.50356092626	2.5402864656563753	2.5762146958846803	3.487167	3.6660604	0.505764658655414	0.46020768711646043
23	1457.390286975	88023.48929575068	2.4911935767933127	2.5420947225549813	3.446701	3.6431408	0.5171685172500513	0.46693596208628985
24	1519.476119981	86823.27887891565	2.4993354201830056	2.548708174722778	3.4691722	3.6677976	0.5108521930609999	0.4596959650722693
25	1581.5583119060002	86512.2860736257	2.4973916207437985	2.548495447258697	3.4582465	3.6546993	0.5139284242773741	0.46354806025122197
26	1643.4428795160002	85966.4889822602	2.4855521166124195	2.557080599753686	3.474082	3.6880915	0.5094666680927695	0.4537004725470073
27	1705.4582514630001	84792.95910046149	2.5497964618289557	2.5915573880766605	3.5417607	3.7413404	0.4901683573777629	0.4378115314997497
28	1767.848712722	84493.96829495134	2.5600470948229916	2.5924336685137623	3.5280035	3.6908145	0.494121358263902	0.4528934435175196
29	1829.8476655059999	83902.91046072364	2.5279092235565894	2.5619112051616373	3.5183904	3.6944098	0.49687442453620057	0.4518269796921317
30	1892.0352021590002	80365.45523608022	2.489942152212394	2.542119014930785	3.488156	3.6867993	0.5054841782553727	0.45408318431374894
31	1954.687563724	79594.56970315776	2.495506561319222	2.559180841398494	3.493324	3.709677	0.5040178255173405	0.44728707296767023
32	2017.6230732170002	79100.59795679244	2.4834063360445433	2.5560673295150815	3.4771185	3.6897728	0.5086088761339204	0.4532022628075939
33	2080.9652426770003	78547.61026406928	2.4984518189753038	2.5643328035675044	3.5068882	3.704159	0.5001586167346497	0.4489300841344741
34	2143.718996789	78036.32060469677	2.4984612153431582	2.5563020074691383	3.5068662	3.704744	0.5001648666888594	0.44875600847439556
35	2206.190445216	77676.77570263829	2.4906153387418835	2.5378085799391368	3.4720402	3.653247	0.5100431931717342	0.4639743246376473
36	2268.529274289	77361.56977054174	2.5221036464736892	2.5666953412254037	3.5351396	3.7044168	0.4920727962323145	0.4488533861029015
37	2331.435649437	77040.71085439391	2.4892989436602506	2.538033787541605	3.4933362	3.6756735	0.5040143413691907	0.4573731073357705
38	2394.441763933	76586.13563301877	2.5016966997125936	2.5633677204765575	3.5186465	3.7159574	0.4968011403672521	0.4454139472544566
39	2457.2165427190002	76082.97169562161	2.5477187729876425	2.5716976745534166	3.5738955	3.7408957	0.4808749402076061	0.4379451462358682
40	2519.870426675	73900.9636477656	2.5203362196206056	2.5597149794965524	3.5434172	3.7243476	0.489691342616806	0.4429067454653054
41	2582.6799459	73421.71421105055	2.512444339502346	2.5623098532414845	3.5358748	3.711726	0.49186148913698413	0.4466762594360504
42	2645.383124332	73177.87747539706	2.5028457735485956	2.5540748124990853	3.5211775	3.6972594	0.4960769526758556	0.45098104387874005
43	2708.456559779	72844.30941511804	2.5159976293295268	2.5819018807908134	3.544903	3.7484195	0.4892632791203726	0.43568203940540295
44	2771.1784836730003	72510.32411631104	2.505248877460982	2.554423794999825	3.519616	3.6997647	0.49652385280849276	0.45023676431536663
45	2834.003960297	72189.55834454497	2.536860331176225	2.5656094008574435	3.5452	3.7023826	0.4891777220213329	0.44945854719322365
46	2897.0862988500003	71930.47215639832	2.51889808251215	2.5665538050278562	3.5446794	3.7300162	0.4893277544621131	0.4412095869659315
47	2960.244793896	71658.14454401674	2.52415581766047	2.5693735950217182	3.5577803	3.7401917	0.485545937198673	0.4381566669945144
48	3023.32634779	71306.04380026199	2.5012793283944954	2.55890441704829	3.5282176	3.704853	0.4940599454176112	0.4487235083882274
49	3086.2752763890003	71042.3293994688	2.51669816572812	2.567698602411993	3.5521753	3.7344027	0.48716563936760393	0.4398946210491851
50	3149.260694996	69698.12522273953	2.5277831236037676	2.5766525511096745	3.5656843	3.7431347	0.4832575240659447	0.4372721490256728
51	3212.1887804860003	69368.52372683956	2.520946108372196	2.5800100137953006	3.5612338	3.7460785	0.48454671972838537	0.4363866732147308
52	3274.732952809	69153.31330692173	2.5270959982845373	2.574232445052004	3.5630612	3.7370145	0.484017577826646	0.4391108575586141
53	3337.599722015	69062.59252536925	2.5236870191876295	2.5775117802338547	3.5573742	3.735724	0.48566334559312974	0.43949817675132885
54	3399.926077292	68910.20338776312	2.5316160065597564	2.5814172272347	3.57012	3.746782	0.4819710807348294	0.4361750004328385
55	3462.411329458	68761.54629515899	2.5303445317098903	2.580306393463793	3.5675645	3.7428682	0.48271247866340183	0.4373522925742467
56	3524.838127734	68570.11813589504	2.520270664939511	2.5779020481758406	3.556498	3.7372198	0.48591669391738557	0.4390492685724132
57	3587.116851046	68465.89586971213	2.524907324312702	2.5765203238285705	3.5601242	3.735398	0.48486789504940775	0.43959600653711506
