Epoch	Time(sec)	Loss_train	MAE_dev	MAE_test	RMSE_dev	RMSE_test	R2_dev	R2_test
1	69.15826700299999	278745.68386559095	3.1722952800575035	3.206941453492238	4.179236	4.27064	0.2901245649448686	0.26749031945805946
2	128.905040332	185279.02124612094	2.771674770145122	2.8143713080507844	3.6708572	3.8190124	0.4523245442915127	0.41422665219704613
3	188.701220454	159450.64922405526	2.6743525078037926	2.7512272577777046	3.5684204	3.740908	0.482464212750244	0.4379415690701335
4	248.88875134600005	145392.30813528804	2.604393440628349	2.701231570874569	3.474111	3.6817205	0.5094585436385841	0.4555862862484572
5	308.801699989	135474.95928709023	2.5660853801989782	2.641862364773442	3.4387152	3.6683757	0.5194033270508195	0.4595256467943153
6	368.619440068	130309.63281055744	2.5979667729487965	2.7117763696472887	3.4711683	3.7065616	0.5102892394335772	0.4482149249240862
7	428.73591744600003	125002.98282837139	2.5875693501997516	2.6503502669746406	3.4568808	3.651421	0.5143121580659387	0.46451007012229106
8	488.95944093800006	120259.30436785317	2.5504645417420075	2.653131275616958	3.4310243	3.6654942	0.521550701745186	0.460374396471393
9	548.675673957	117890.59764342698	2.5816852436301403	2.7196229943726875	3.519333	3.8121166	0.4966048407975059	0.4163401073548133
10	608.323688471	105899.61405241807	2.4727835934255227	2.6016690718549835	3.3778973	3.6741033	0.5362528976754152	0.4578365650100201
11	668.432947883	102516.60198216196	2.590153265824086	2.662417743040908	3.5249887	3.754812	0.49498557371970286	0.43375567205140686
12	728.1085551030001	100959.56738864313	2.467049040192309	2.594874165983176	3.4012897	3.6819842	0.5298075724265894	0.45550825415794205
13	787.8266740409999	99301.1774667933	2.4780036584604663	2.5995957396201117	3.3950322	3.6684537	0.5315360605761469	0.45950265825102554
14	847.631446164	97738.96996554545	2.4566021080431915	2.5807795585918454	3.3846738	3.634921	0.5343903091149358	0.46933863588608193
15	907.5423022479999	96993.59568543649	2.4675185493549727	2.6203024753340634	3.4149783	3.7342224	0.5260153494069328	0.4399486142066682
16	967.689515838	95811.12216470005	2.437222027813799	2.563103373562851	3.358585	3.631818	0.5415404536852099	0.4702443213205043
17	1029.828941502	94002.21366766054	2.435871948530088	2.58593678027126	3.3646367	3.6419098	0.5398867818581297	0.46729610920023934
18	1090.057942685	93500.43958737495	2.451275783876342	2.5785826585319715	3.408533	3.693169	0.5278028033257512	0.4521951770480487
19	1149.767646945	92284.7668664383	2.4266527541725056	2.561003028516903	3.401207	3.682627	0.5298305019256173	0.45531808446482924
20	1209.758649144	86576.94367420328	2.4461351151261788	2.5627646381898193	3.420359	3.6771638	0.5245205896720784	0.45693292685607045
21	1269.786621383	85024.43305881861	2.4262459590685976	2.5724674365051854	3.399857	3.709747	0.530203642474654	0.4472660556540974
22	1329.686056198	84261.97377894333	2.457856581517608	2.5734421011113566	3.406578	3.6747997	0.5283443625744748	0.4576310880447473
23	1389.729567878	83423.57123337984	2.433895976678634	2.5450268411066497	3.4142094	3.66886	0.526228795352903	0.45938293262629515
24	1449.580383694	82675.86845871057	2.4494204412606013	2.5672826182778543	3.4183521	3.6939697	0.5250783571239424	0.4519576624892444
25	1509.323944066	82146.7061189587	2.4435554838024807	2.5671414360934937	3.4259362	3.6961339	0.5229686932241571	0.4513153396119455
26	1568.771935289	81582.17448319143	2.459545243027091	2.5872387448458483	3.449507	3.7221029	0.5163820422487012	0.4435780404463264
27	1628.3983161039998	80751.92528649488	2.4634813922424215	2.56506341356439	3.456827	3.717115	0.5143273913542378	0.44506834047085264
28	1688.50573212	80122.76901674047	2.513079939299482	2.6301435430505427	3.4932022	3.7526379	0.5040523977394535	0.4344112134240129
29	1750.1464646319998	79680.84229434234	2.4583071338503917	2.56492477687266	3.4317112	3.6807241	0.5213590502233059	0.45588083912852206
30	1810.583085176	75783.46043772406	2.441658989878066	2.5531207932836226	3.4418287	3.6952486	0.5185325959931188	0.45157806672171674
31	1876.2002692510002	74963.06482983025	2.4385525538827206	2.5698652853857453	3.4470286	3.721018	0.5170767642452845	0.4439024321516939
32	1936.451631401	74468.17459409503	2.4326154376278386	2.5601339653275925	3.4391422	3.7102683	0.5192839567067642	0.44711078521902015
33	1996.485871309	73678.84345261678	2.457919686511734	2.5730004796798114	3.4581766	3.713537	0.5139479863633483	0.4461361813866892
34	2056.9341147920004	73344.8108634654	2.431398582598305	2.561388955095389	3.431098	3.7017698	0.5215301724989507	0.44964068489485964
35	2116.923389775	72760.70592468372	2.4189108049722647	2.5605316996096574	3.4128795	3.7025983	0.5265977770195892	0.4493943064389142
36	2176.6001282790003	72261.66349901364	2.449951151868156	2.5751179627202574	3.45674	3.7270396	0.514351845231771	0.44210110597265584
37	2236.048906213	71744.27732427299	2.4432408627688957	2.560522819446696	3.4603667	3.7245135	0.5133321938555098	0.4428570699825467
38	2294.65517946	71345.18878628689	2.4325473394351094	2.55018098197873	3.4417224	3.7140944	0.5185623767753152	0.4459698565669432
39	2353.21688178	70739.06502626007	2.4902572751735423	2.602624447711007	3.521687	3.7814457	0.4959312119599635	0.4256941850305235
40	2411.670418187	68210.2503253153	2.463593177192108	2.5779535004585945	3.4944513	3.7613504	0.5036975869001725	0.43178187066056517
41	2470.21899107	67661.90783359951	2.4463658669029944	2.557735991325769	3.4688227	3.7265873	0.5109508151955555	0.44223657212699374
42	2528.982235769	67265.68258238031	2.444841162489634	2.560061225654323	3.4606247	3.7276504	0.5132596729261891	0.44191826739504725
43	2587.3930546519996	66905.41354607615	2.448065849258885	2.565739020678677	3.4813929	3.7426372	0.5073999913138734	0.4374217882750926
44	2645.9695353899997	66503.23000516789	2.43962636144584	2.5603660755744313	3.4679735	3.730722	0.5111902223616316	0.4409981682169324
45	2704.114086918	66173.967389387	2.4635600994900755	2.5655680196802186	3.4740024	3.716953	0.5094891846951894	0.44511671316241563
46	2762.5866097	66019.23517503586	2.4656630637624133	2.5653430137190427	3.5015476	3.7485251	0.5016799010761748	0.4356502780572722
47	2821.001319821	65714.05603261567	2.4719340958435647	2.572082774974671	3.5142918	3.758903	0.4980459432025125	0.43252114361909155
48	2879.7321735610003	65264.034964386534	2.456296213134911	2.554587873198853	3.4832008	3.7261243	0.5068881944991009	0.4423750933995725
49	2938.049077752	65077.396037258666	2.454794263539088	2.5649219374050722	3.494924	3.7439332	0.503563402743417	0.43703205315013105
50	2996.6770352310004	63473.589895805024	2.461073077804765	2.563819761549492	3.5018506	3.745896	0.5015936516988635	0.43644157816927653
51	3055.0663219159997	63191.69012594193	2.4584512376224272	2.5615239844418567	3.5043373	3.7528148	0.50088555498833	0.4343579436980307
52	3113.5301924819996	62943.24931802269	2.4547561995846587	2.5568725086854784	3.4911716	3.732831	0.504628818224883	0.44036596234890957
53	3172.0601878790003	62853.20660893912	2.4566894426118946	2.556681931275441	3.496681	3.7385483	0.5030640592443538	0.43865039500903713
54	3230.537994708	62725.882709332436	2.4628945610081145	2.559553643339037	3.5064702	3.747669	0.5002778119042184	0.4359080930007473
55	3288.559780855	62489.09975213401	2.4694474111145226	2.5639671396548174	3.5075305	3.7423308	0.4999755134315662	0.43751386346509924
56	3345.9688322780003	62405.60069210156	2.460438703684548	2.5571479719406494	3.501685	3.741406	0.5016407851202578	0.4377918596599274
57	3403.5246041150003	62209.0839279401	2.4691067881121205	2.555002993926176	3.5038528	3.7333732	0.5010235016142934	0.4402033389512574
58	3460.836386309	61986.52349700074	2.469808798393947	2.558894757468988	3.510951	3.7493467	0.4989998576799781	0.43540287119317966
59	3517.9409125820002	61919.0412315508	2.4710958608671705	2.5590683944775523	3.5100572	3.7405446	0.4992548304619484	0.43805066059135955
60	3574.747035775	61020.66089071113	2.463391038117988	2.553086433334015	3.5006106	3.7360656	0.5019465728199375	0.439395642276767
61	3632.206620375	60908.613086578625	2.467078183235649	2.5527374891546555	3.5065892	3.7390847	0.5002438450343143	0.43848930938746233
62	3689.5000468160006	60836.20456353797	2.4707806658380247	2.5567494344360013	3.5099096	3.7410314	0.4992969333209343	0.43790436642840014
63	3746.6676091010004	60748.24511438318	2.469400072072117	2.5564318521550002	3.5080907	3.739647	0.4998157587352242	0.43832039512506304
64	3804.2261424550006	60632.03655556877	2.474118408466072	2.5568744609831455	3.5159934	3.7454164	0.49755968470607004	0.43658592999404255
65	3861.3709867940006	60522.56364477806	2.4829981169329334	2.5646276791821148	3.5256994	3.7512882	0.49478191983636843	0.43481797647863296
66	3918.2200979500003	60449.13274657344	2.4807291661926727	2.5637706330868983	3.529571	3.7591963	0.493671669021146	0.43243256263805996
67	3975.01942822	60402.115354465226	2.4790167998292456	2.556160045975726	3.5211	3.7450662	0.49609920844490696	0.43669122881988376
68	4032.059952388	60286.521688401226	2.4829173068827872	2.559413778343439	3.5299926	3.754506	0.4935507454913606	0.4338479576627149
69	4088.955292777	60195.466607384544	2.477197719268908	2.557565149448529	3.523033	3.7495432	0.4955457369865939	0.4353437035282841
